ID,Tipo de habitación,Título,Tipología,Ciudad,Localización,Municipio,Precio por noche Agosto,Precio por noche Octubre,Precio Medio,Valoración,Numero valoraciones,Dormitorios,Baños,Camas,Viajeros máximos
1102068843763638265,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.409997,-3.702356",Madrid,,,,,1,1,1,1,4
1126739561738502826,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.4453,-3.6708",Madrid,97,97,97,,1,1,1,2,4
739721914714622899,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.41921,-3.6722",Madrid,,243,243,4.69,29,2,2,4,5
1097672373684015561,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.43891,-3.7068",Madrid,168,,168,5.0,3,1,1,1,2
1128852134356774807,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.443,-3.5846",Madrid,77,,77,4.75,4,2,1,,6
1139739396993926338,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.412879,-3.713103",Madrid,50,50,50,,,1,1,1,
605525788298538912,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.38016,-3.69455",Madrid,,,,4.83,6,1,1,1,2
000000000042046394,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.39966,-3.69738",Madrid,110,110,110,4.62,97,2,1,2,4
1111012125955288180,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.388,-3.69302",Madrid,82,82,82,4.67,3,1,1,,4
657011539776416329,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.3947,-3.6251",Madrid,45,42,44,,,1,1,1,
000000000030106610,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.39939,-3.70018",Madrid,103,103,103,4.51,219,1,1,1,2
1055840293109364339,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.4035,-3.6072",Madrid,130,99,114,,,1,1,2,4
1096244063292543276,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.455184,-3.680399",Madrid,,270,270,,,2,2,,4
