,ID,Tipo de habitación,Ciudad,Localización,Precio por noche Octubre,Precio por noche Agosto,Valoración,Numero valoraciones,Dormitorios,Baños,Camas,Viajeros máximos
1276,990541272822161419,"Habitación en Leganés, España",Madrid,"40.327933,-3.767471",27 €,27 €,"5,0",3 evaluaciones,1 dormitorio,baño compartido,1 cama,No especificado
1277,39955468,"Habitación en Tres Cantos, España",Madrid,"40.62424,-3.71382",38 €,38 €,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,2 dormitorios,· baño privado en el alojamiento,1 cama,No especificado
1278,916515250981054658,"Habitación en Madrid, España",Madrid,"40.4075,-3.7517",40 €,41 €,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,2 dormitorios,baño compartido,No especificado,No especificado
1279,5552409,"Alojamiento entero: piso en Madrid, España",Madrid,"40.43014,-3.71144",No disponible en Octubre,No disponible en Agosto,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,1 baño,1 cama,1 viajero
1280,1006475463646076905,"Alojamiento entero: piso en Madrid, España",Madrid,"40.46567,-3.69292",207 €,138 €,"4,70",10 evaluaciones,1 dormitorio,1 baño,2 camas,2 viajeros
1281,845539651561330539,"Alojamiento entero: piso en Torrejón de Ardoz, España",Madrid,"40.45845,-3.47869",107 €,130 €,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,2 dormitorios,2 baños,No especificado,5 viajeros
1282,865941398280887295,"Habitación en Madrid, España",Madrid,"40.4286,-3.6257",29 €,29 €,Sin valoraciones,Política de Cookies,1 dormitorio,baño compartido,1 cama,No especificado
1283,941969967329482444,"Alojamiento entero: piso en Madrid, España",Madrid,"40.4287,-3.6367",No disponible en Octubre,78 €,"4,85",46 evaluaciones,2 dormitorios,1 baño,4 camas,6 viajeros
1284,1113709093417616850,"Habitación en Madrid, España",Madrid,"40.41541,-3.67114",No disponible en Octubre,No disponible en Agosto,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,baño compartido,No especificado,No especificado
1285,945373573932240016,"Habitación en Madrid, España",Madrid,"40.386286,-3.640613",35 €,35 €,Sin valoraciones,2 evaluaciones,1 dormitorio,baño compartido,1 cama,No especificado
1286,1105690431908934008,"Alojamiento entero: piso en Madrid, España",Madrid,"40.462639,-3.696868",168 €,128 €,"4,75",4 evaluaciones,2 dormitorios,2 baños,3 camas,5 viajeros
1287,47883528,"Alojamiento entero: piso en Madrid, España",Madrid,"40.42686,-3.67057",No disponible en Octubre,81 €,"4,19",52 evaluaciones,1 dormitorio,1 baño,1 cama,2 viajeros
1288,649875746464503452,"Alojamiento entero: piso en Madrid, España",Madrid,"40.40622,-3.7042",186 €,No disponible en Agosto,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,1 baño,No especificado,4 viajeros
1289,643505759663333743,"Habitación en Madrid, España",Madrid,"40.4838,-3.6867",32 €,32 €,"4,84",25 evaluaciones,1 dormitorio,baño compartido,1 cama,No especificado
1290,17290793,"Alojamiento entero: piso en Madrid, España",Madrid,"40.3985,-3.6956",77 €,No disponible en Agosto,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,1 baño,1 cama,2 viajeros
1291,1029832119305189520,"Habitación en Madrid, España",Madrid,"40.443671,-3.6127",32 €,No disponible en Agosto,Sin valoraciones,1 evaluación,1 dormitorio,Sin baños,1 cama,No especificado
1292,772268979288569370,"Habitación en Madrid, España",Madrid,"40.37127,-3.65988",No disponible en Octubre,40 €,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,baño compartido,No especificado,No especificado
1293,717117231651730313,"Habitación en Madrid, España",Madrid,"40.4446,-3.61281",No disponible en Octubre,No disponible en Agosto,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,baño compartido,1 cama,No especificado
1294,717944084224798584,"Habitación en Madrid, España",Madrid,"40.45676,-3.69845",No disponible en Octubre,No disponible en Agosto,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,baño compartido,No especificado,No especificado
1295,51699174,"Habitación privada en: apartamento con servicios en Madrid, España",Madrid,"40.43727,-3.70248",40 €,40 €,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,5 baños compartidos,1 cama,2 viajeros
1296,1033923999116359743,"Alojamiento entero: piso en Madrid, España",Madrid,"40.435234,-3.659534",177 €,177 €,"5,0",4 evaluaciones,2 dormitorios,1 baño,No especificado,4 viajeros
1297,1056524411161841149,"Alojamiento entero: piso en Madrid, España",Madrid,"40.4738,-3.6888",150 €,150 €,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,2 dormitorios,2 baños,No especificado,4 viajeros
1298,1005515475750801813,"Alojamiento entero: piso en Madrid, España",Madrid,"40.43445,-3.69772",90 €,90 €,"4,68",28 evaluaciones,1 dormitorio,1 baño,1 cama,2 viajeros
1299,911665091740647249,"Alojamiento entero: apto. residencial en Madrid, España",Madrid,"40.4861,-3.6697",No disponible en Octubre,No disponible en Agosto,"4,67",12 evaluaciones,2 dormitorios,2 baños,3 camas,5 viajeros
1300,1144243606543446827,"Habitación en Madrid, España",Madrid,"40.407067,-3.624726",36 €,36 €,Nuevo,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,baño compartido,1 cama,No especificado
1301,1129619615228867353,"Alojamiento entero: piso en Madrid, España",Madrid,"40.4298,-3.7025",No disponible en Octubre,No disponible en Agosto,Nuevo,Política de Cookies,1 dormitorio,1 baño,2 camas,3 viajeros
