,ID,Lista Amenities
37,1067431534499616186,
38,596766439801829075,
39,3942375,
40,45274367,
41,37418264,
42,7126414,
43,33688320,
44,13079087,
45,19516555,
46,958388067939990789,
47,1106437543785641970,"['Lavadora', 'TV', 'Aire acondicionado', 'Botiquín', 'Wifi', 'Zona para trabajar', 'CocinaCocina disponible para el uso de los huéspedes', 'Lavandería cercana', 'Recepción por parte del anfitrión', 'No disponible: Cerradura en la puerta del dormitorioCerradura en la puerta del dormitorioLa puerta del dormitorio no tiene cerradura.', 'No disponible: Cámaras de seguridad en los exteriores de la propiedadCámaras de seguridad en los exteriores de la propiedad', 'No disponible: SecadoraSecadora', 'No disponible: Servicios básicosServicios básicos', 'No disponible: Detector de humoDetector de humoEs posible que este espacio no tenga un detector de humo. Si tienes alguna pregunta, ponte en contacto con el anfitrión.', 'No disponible: Detector de monóxido de carbonoDetector de monóxido de carbonoEs posible que este espacio no tenga un detector de monóxido de carbono. Si tienes alguna pregunta, ponte en contacto con el anfitrión.', 'No disponible: CalefacciónCalefacción', 'No disponible: Agua calienteAgua caliente']"
48,929761800436440986,
49,602465982075695391,
50,1102856,
51,878658347316285621,
52,872548034802093278,
53,1284165,
