Unnamed: 0,ID,Tipo de habitación,Ciudad,Localización,Precio por noche Octubre,Precio por noche Agosto,Valoración,Numero valoraciones,Dormitorios,Baños,Camas,Viajeros máximos
75,21653693,"Alojamiento entero: piso en Barcelona, España",Barcelona,,No disponible en Octubre,No disponible en Agosto,"4,85",143 evaluaciones,1 dormitorio,1 baño,3 camas,4 viajeros
76,39719348,"Alojamiento entero: piso en Barcelona, España",Barcelona,,389 €,389 €,Sin valoraciones,Sin valoraciones,1 dormitorio,1 baño,2 camas,2 viajeros
77,2069105,"Alojamiento entero: loft en Barcelona, España",Barcelona,,343 €,226 €,"4,46",134 evaluaciones,1 dormitorio,1 baño,2 camas,2 viajeros
78,743612,"Alojamiento entero: piso en Barcelona, España",Barcelona,,400 €,No disponible en Agosto,Sin valoraciones,Sin valoraciones,2 dormitorios,1 baño,4 camas,7 viajeros
79,1113106280885491432,"Habitación en Badalona, España",Barcelona,,60 €,60 €,Nuevo,2 evaluaciones,1 dormitorio,Sin baños,1 cama,No especificado
80,1136030647689014350,"Habitación en Sant Boi de Llobregat, España",Barcelona,,No disponible en Octubre,No disponible en Agosto,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,baño compartido,2 camas,No especificado
81,1505984,"Alojamiento entero: piso en Barcelona, España",Barcelona,,No disponible en Octubre,No disponible en Agosto,"4,64",50 evaluaciones,3 dormitorios,1 baño,3 camas,4 viajeros
82,1126613779447054663,"Alojamiento entero: piso en Barcelona, España",Barcelona,,260 €,270 €,"5,0",5 evaluaciones,1 dormitorio,1 baño,4 camas,4 viajeros
83,49680586,"Alojamiento entero: vivienda en Montgat, España",Barcelona,,No disponible en Octubre,No disponible en Agosto,Sin valoraciones,Sin valoraciones,1 dormitorio,2 baños,2 camas,4 viajeros
84,8823241,"Habitación en Sant Cugat del Vallès, España",Barcelona,,40 €,55 €,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,2 dormitorios,· baño privado en la habitación,4 camas,No especificado
85,17690720,"Alojamiento entero: piso en Barcelona, España",Barcelona,,No disponible en Octubre,450 €,"4,81",242 evaluaciones,2 dormitorios,1 baño,4 camas,6 viajeros
86,1116456100784807861,"Habitación en Barcelona, España",Barcelona,,No disponible en Octubre,No disponible en Agosto,"4,75",4 evaluaciones,1 dormitorio,baño compartido,1 cama,No especificado
87,882976817180362322,"Habitación en Barcelona, España",Barcelona,,90 €,120 €,Sin valoraciones,Sin valoraciones,1 dormitorio,baño compartido,1 cama,No especificado
88,637021355969078948,"Habitación en Santa Coloma de Gramenet, España",Barcelona,,50 €,50 €,"4,0",4 evaluaciones,1 dormitorio,baño compartido,1 cama,No especificado
89,50316594,"Alojamiento entero: apto. residencial en Barcelona, España",Barcelona,,No disponible en Octubre,No disponible en Agosto,"4,65",109 evaluaciones,2 dormitorios,1 baño,3 camas,4 viajeros
90,989231356412162574,"Alojamiento entero: piso en Barcelona, España",Barcelona,,90 €,No disponible en Agosto,"4,40",5 evaluaciones,1 dormitorio,1 baño,1 cama,2 viajeros
91,1135395374911481422,"Alojamiento entero: piso en Barcelona, España",Barcelona,,268 €,393 €,Nuevo,Sin valoraciones,1 dormitorio,1 baño,1 cama,4 viajeros
92,841171281732086515,"Alojamiento entero: piso en Barcelona, España",Barcelona,,338 €,454 €,"4,47",15 evaluaciones,2 dormitorios,1 baño,3 camas,5 viajeros
93,8687504,"Alojamiento entero: piso en Barcelona, España",Barcelona,,250 €,250 €,"4,75",40 evaluaciones,2 dormitorios,1 baño,5 camas,6 viajeros
94,928179921967381572,"Habitación en Barcelona, España",Barcelona,,No disponible en Octubre,No disponible en Agosto,"4,67",15 evaluaciones,1 dormitorio,baño compartido,1 cama,No especificado
95,18788457,"Habitación en Barcelona, España",Barcelona,,No disponible en Octubre,No disponible en Agosto,"4,83",110 evaluaciones,1 dormitorio,baño compartido,No especificado,No especificado
96,40538318,"Habitación privada en: hostal en Barcelona, España",Barcelona,,174 €,190 €,"3,80",5 evaluaciones,1 dormitorio,1 baño privado,2 camas,2 viajeros
97,845555464258470176,"Habitación en Montmeló, España",Barcelona,,50 €,50 €,"5,0",3 evaluaciones,1 dormitorio,baño compartido,1 cama,No especificado
98,1060396337513548269,"Alojamiento entero: piso en L'Hospitalet de Llobregat, España",Barcelona,,310 €,305 €,"5,0",3 evaluaciones,1 dormitorio,1 baño,1 cama,2 viajeros
99,2376434,"Alojamiento entero: adosado en Barcelona, España",Barcelona,,No disponible en Octubre,No disponible en Agosto,"4,67",401 evaluaciones,2 dormitorios,1 baño,4 camas,4 viajeros
100,620633877155596852,"Alojamiento entero: piso en Barcelona, España",Barcelona,,330 €,445 €,"4,61",28 evaluaciones,2 dormitorios,1 baño,2 camas,4 viajeros
101,1108733661556427338,"Alojamiento entero: piso en Barcelona, España",Barcelona,,150 €,150 €,Nuevo,1 evaluación,2 dormitorios,2 baños,No especificado,3 viajeros
102,31346422,"Alojamiento entero: piso en Barcelona, España",Barcelona,,No disponible en Octubre,No disponible en Agosto,"4,74",218 evaluaciones,1 dormitorio,1 baño,No especificado,2 viajeros
103,20538428,"Habitación en Sant Adrià de Besòs, España",Barcelona,,105 €,124 €,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,2 dormitorios,baño compartido,2 camas,No especificado
104,658471450009412810,"Alojamiento entero: piso en Barcelona, España",Barcelona,,No disponible en Octubre,No disponible en Agosto,Sin valoraciones,2 evaluaciones,2 dormitorios,1 baño,No especificado,3 viajeros
105,676695884421789255,,Barcelona,,No disponible en Octubre,375 €,Sin valoraciones,Sin valoraciones,,,,
106,31482730,"Alojamiento entero: piso en Barcelona, España",Barcelona,,No disponible en Octubre,No disponible en Agosto,"4,74",27 evaluaciones,1 dormitorio,1 baño,3 camas,3 viajeros
107,34957866,"Alojamiento entero: piso en Barcelona, España",Barcelona,,No disponible en Octubre,No disponible en Agosto,"4,81",224 evaluaciones,2 dormitorios,1 baño,4 camas,4 viajeros
108,46366621,"Alojamiento entero: apartamento con servicios en Barcelona, España",Barcelona,,249 €,248 €,"4,74",442 evaluaciones,1 dormitorio,1 baño,1 cama,2 viajeros
109,4922877,"Alojamiento entero: piso en Barcelona, España",Barcelona,,No disponible en Octubre,No disponible en Agosto,"4,62",215 evaluaciones,2 dormitorios,1 baño,2 camas,4 viajeros
110,1061490653718744976,"Alojamiento entero: piso en Barcelona, España",Barcelona,,310 €,No disponible en Agosto,Nuevo,1 evaluación,1 dormitorio,1 baño,No especificado,4 viajeros
111,691679958810855386,"Habitación en Barcelona, España",Barcelona,,55 €,75 €,"4,75",52 evaluaciones,1 dormitorio,baño compartido,No especificado,No especificado
112,862986225502778713,"Habitación en Barcelona, España",Barcelona,,45 €,45 €,Sin evaluaciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,baño compartido,No especificado,No especificado
113,1093961898025756222,"Alojamiento entero: vivienda en Barcelona, España",Barcelona,,180 €,190 €,"4,20",5 evaluaciones,2 dormitorios,1 baño,3 camas,4 viajeros
114,33730111,"Alojamiento entero: piso en Santa Coloma de Gramenet, España",Barcelona,,199 €,189 €,"4,70",201 evaluaciones,2 dormitorios,1 baño,2 camas,2 viajeros
115,969512697521833374,"Alojamiento entero: piso en Barcelona, España",Barcelona,,No disponible en Octubre,369 €,"5,0",6 evaluaciones,3 dormitorios,2 baños,3 camas,5 viajeros
116,817857629061236817,"Alojamiento entero: piso en Barcelona, España",Barcelona,,No disponible en Octubre,No disponible en Agosto,"4,13",30 evaluaciones,4 dormitorios,2 baños,5 camas,7 viajeros
117,42890622,"Habitación en hotel en Barcelona, España",Barcelona,,No disponible en Octubre,No disponible en Agosto,"4,86",37 evaluaciones,1 dormitorio,1 baño privado,1 cama,2 viajeros
118,1104352817195805142,"Habitación en Barcelona, España",Barcelona,,79 €,79 €,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,· baño privado en la habitación,1 cama,No especificado
119,14592933,"Habitación en L'Hospitalet de Llobregat, España",Barcelona,,70 €,70 €,"4,83",78 evaluaciones,1 dormitorio,baño compartido,1 cama,No especificado
120,799080192649946305,"Habitación privada en: casa de invitados en Barcelona, España",Barcelona,,No disponible en Octubre,No disponible en Agosto,Sin valoraciones,Sin valoraciones,1 dormitorio,1 baño privado,1 cama,2 viajeros
121,27823920,"Alojamiento entero: piso en Barcelona, España",Barcelona,,No disponible en Octubre,250 €,Sin valoraciones,Sin valoraciones,1 dormitorio,1 baño,2 camas,3 viajeros
122,477256,"Habitación en Barcelona, España",Barcelona,,No disponible en Octubre,No disponible en Agosto,"4,65",293 evaluaciones,1 dormitorio,baño compartido,No especificado,No especificado
123,578903475066562396,"Alojamiento entero: piso en Barcelona, España",Barcelona,,No disponible en Octubre,No disponible en Agosto,"4,70",10 evaluaciones,1 dormitorio,1 baño,1 cama,1 viajero
124,836756629196509012,"Habitación en Barcelona, España",Barcelona,,No disponible en Octubre,No disponible en Agosto,"4,94",17 evaluaciones,1 dormitorio,baño compartido,No especificado,No especificado
125,32096193,"Alojamiento entero en Barcelona, España",Barcelona,,No disponible en Octubre,No disponible en Agosto,"4,81",31 evaluaciones,1 dormitorio,5 baños,No especificado,2 viajeros
126,3505203,"Alojamiento entero: piso en Barcelona, España",Barcelona,,No disponible en Octubre,No disponible en Agosto,Sin valoraciones,Sin valoraciones,1 dormitorio,1 baño,1 cama,2 viajeros
127,947485255857636033,"Habitación en Badalona, España",Barcelona,,No disponible en Octubre,No disponible en Agosto,Sin valoraciones,Sin valoraciones,1 dormitorio,baño compartido,No especificado,No especificado
128,4090521,"Alojamiento entero: piso en Barcelone, España",Barcelona,,426 €,365 €,"4,62",117 evaluaciones,2 dormitorios,1 baño,4 camas,3 viajeros
129,976789941198437507,"Habitación privada en: apto. residencial en L'Hospitalet de Llobregat, España",Barcelona,,41 €,43 €,"4,53",32 evaluaciones,1 dormitorio,baño compartido,1 cama,1 viajero
130,775858478065422112,"Alojamiento entero: piso en Barcelona, España",Barcelona,,500 €,480 €,Sin valoraciones,Sin valoraciones,3 dormitorios,2 baños,No especificado,5 viajeros
131,1030869986757871838,"Habitación en Barcelona, España",Barcelona,,60 €,No disponible en Agosto,Sin valoraciones,1 evaluación,1 dormitorio,baño compartido,No especificado,No especificado
132,1100121,"Alojamiento entero: piso en Barcelona, España",Barcelona,,No disponible en Octubre,No disponible en Agosto,Sin valoraciones,Sin valoraciones,1 dormitorio,1 baño,1 cama,2 viajeros
133,1322489,"Alojamiento entero: piso en Hospitalet de Llobregat, España",Barcelona,,No disponible en Octubre,No disponible en Agosto,Sin valoraciones,Sin valoraciones,1 dormitorio,1 baño,1 cama,2 viajeros
134,898276757093957812,"Alojamiento entero: piso en Barcelona, España",Barcelona,,542 €,396 €,Sin valoraciones,1 evaluación,2 dormitorios,2 baños,2 camas,4 viajeros
135,13270342,,Barcelona,,No disponible en Octubre,No disponible en Agosto,Sin valoraciones,Sin valoraciones,,,,
136,51954538,"Habitación en Abrera, España",Barcelona,,No disponible en Octubre,No disponible en Agosto,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,baño compartido,2 camas,No especificado
137,2494484,"Alojamiento entero: piso en Barcelona, España",Barcelona,,No disponible en Octubre,No disponible en Agosto,"4,76",421 evaluaciones,2 dormitorios,2 baños,3 camas,4 viajeros
138,18338221,"Alojamiento entero: piso en Barcelona, España",Barcelona,,265 €,No disponible en Agosto,"4,66",140 evaluaciones,3 dormitorios,2 baños,6 camas,6 viajeros
139,32118599,,Barcelona,,388 €,460 €,Sin valoraciones,Sin valoraciones,,,,
140,1115849442967085990,"Habitación en Barcelona, España",Barcelona,,No disponible en Octubre,No disponible en Agosto,Nuevo,2 evaluaciones,1 dormitorio,· baño privado en la habitación,1 cama,No especificado
141,52627366,"Alojamiento entero: apartamento con servicios en Barcelona, España",Barcelona,,492 €,447 €,"4,76",658 evaluaciones,2 dormitorios,1 baño,3 camas,4 viajeros
142,36346072,"Habitación en Barcelona, España",Barcelona,,43 €,43 €,"4,26",126 evaluaciones,1 dormitorio,baño compartido,1 cama,No especificado
143,45348838,"Habitación en Badalona, España",Barcelona,,90 €,No disponible en Agosto,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,· baño privado en la habitación,1 cama,No especificado
144,1147585839545283396,"Habitación en Barcelona, España",Barcelona,,100 €,100 €,Nuevo,Sin valoraciones,1 dormitorio,baño compartido,1 cama,No especificado
145,1120791125729506189,"Alojamiento entero: piso en Barcelona, España",Barcelona,,372 €,322 €,Nuevo,Sin valoraciones,1 dormitorio,1 baño,1 cama,2 viajeros
146,6855516,"Alojamiento entero: piso en Barcelona, España",Barcelona,,225 €,205 €,"4,82",283 evaluaciones,2 dormitorios,1 baño,3 camas,4 viajeros
147,46524035,"Alojamiento entero: piso en Barcelona, España",Barcelona,,428 €,No disponible en Agosto,"4,06",33 evaluaciones,2 dormitorios,1 baño,4 camas,5 viajeros
148,2557934,"Alojamiento entero: loft en Barcelona, España",Barcelona,,No disponible en Octubre,No disponible en Agosto,"4,87",359 evaluaciones,1 dormitorio,5 baños,2 camas,3 viajeros
149,557929113555451434,"Habitación en Barcelona, España",Barcelona,,50 €,No disponible en Agosto,"4,75",195 evaluaciones,1 dormitorio,baño compartido,1 cama,No especificado
150,75411,"Alojamiento entero: piso en Barcelona, España",Barcelona,,185 €,200 €,"4,43",97 evaluaciones,3 dormitorios,1 baño,4 camas,6 viajeros
151,25122279,"Habitación en apartahotel en Gracia-Barcelona, España",Barcelona,,No disponible en Octubre,No disponible en Agosto,"4,79",482 evaluaciones,1 dormitorio,1 baño,1 cama,2 viajeros
152,2369067,"Alojamiento entero: piso en Barcelona, España",Barcelona,,250 €,No disponible en Agosto,Sin valoraciones,Sin valoraciones,3 dormitorios,1 baño,4 camas,5 viajeros
153,642377034207410945,"Habitación privada en: apartamento con servicios en Santa Coloma de Gramenet, España",Barcelona,,48 €,48 €,"4,44",36 evaluaciones,1 dormitorio,baño compartido,1 cama,2 viajeros
