ID,CP,PRECIO POR PISO,PRECIO POR CASA,Precio m2
00646869426660771948,28047,2477,2371,2424
00814337754840310842,28039,3874,3396,3635
00000000000035065843,28011,2936,2680,2808
00000000000003501674,28017,2962,3144,3053
00000000000051647382,28053,2293,2036,2164
00915827660596527576,28026,2504,2563,2533
01089316153866659931,28017,2962,3144,3053
01126950480859125791,28017,2962,3144,3053
00000000000043937945,28009,7057,5976,6516
00000000000045283717,28010,7169,5233,6201
00000000000041768459,28038,2395,2216,2305
00000000000046348662,28019,2737,2498,2617
01082418380619075041,28007,4768,4564,4666
00000000000030052740,28011,2936,2680,2808
01026780049084130541,28041,2214,2440,2327
00000000000032485027,28038,2395,2216,2305
00943372583552006604,28006,7921,7997,7959
01128322005314082519,28053,2293,2036,2164
00000000000049433117,28003,5992,6000,5996
01021564995466968303,28046,5834,3751,4792
00976654230713325805,28027,3718,3764,3741
01106476367797671880,28049,4976,3886,4431
00000000000005278933,28030,2810,2289,2549
00984605907627943342,28002,5455,7899,6677
00738336673168423745,28014,6436,2796,4616
01078130838110598243,28045,4451,4763,4607
01125494766228236642,28007,4768,4564,4666
00000000000030580469,28014,6436,2796,4616
00000000000053335609,28008,5683,5308,5495
01106038484392320110,28026,2504,2563,2533
00000000000027257449,28003,5992,6000,5996
00833735716265570613,28019,2737,2498,2617
01098335207327955793,28031,2445,2317,2381
00555238156247911186,28041,2214,2440,2327
00000000000016478640,28011,2936,2680,2808
00000000000038419775,28033,3900,3818,3859
00000000000038702266,28005,4879,4945,4912
00000000000040721558,28022,3080,3139,3109
01012287670485099827,28043,4430,4304,4367
01081719191586962712,28045,4451,4763,4607
00905672799514033111,28032,2704,2823,2763
00000000000018540846,28015,5701,2216,3958
00000000000021944126,28045,4451,4763,4607
01140654383815698385,28043,4430,4304,4367
01140539291015310160,28001,9376,6266,7821
00795428335697217464,28016,5868,6848,6358
00735360754439509685,28038,2395,2216,2305
01060359764672801157,28011,2936,2680,2808
00980339330355298755,28030,2810,2289,2549
01042788124643710894,28009,7057,5976,6516
00000000000031157474,28009,7057,5976,6516
01138351147330962769,28053,2293,2036,2164
00768217454691829279,28020,4967,829,2898
01105546173838503175,28007,4768,4564,4666
00000000000054361480,28021,1967,1831,1899
00000000000052018449,28030,2810,2289,2549
00893953854889548695,28037,2621,3220,2920
00554510664483047819,28007,4768,4564,4666
00000000000029938173,28034,3657,3485,3571
00555246181880584198,28041,2214,2440,2327
00950789111097291495,28012,4818,3175,3996
00000000000045095851,28039,3874,3396,3635
01069601888039905662,28026,2504,2563,2533
01141835192029399178,28012,4818,3175,3996
00000000000039887396,28014,6436,2796,4616
00922392635155411362,28044,2429,2058,2243
00853739035682361011,28013,4917,3286,4101
01107150269231752338,28028,5148,4912,5030
00000000000035281477,28030,2810,2289,2549
00947022428931270069,28039,3874,3396,3635
00000000000015471882,28046,5834,3751,4792
00000000000009977208,28047,2477,2371,2424
00896377270496381550,28040,4971,3963,4467
01047891826843118113,28010,7169,5233,6201
00000000000024200381,28001,9376,6266,7821
00000000000036854978,28011,2936,2680,2808
01123701054428367306,28026,2504,2563,2533
00000000000033326044,28032,2704,2823,2763
00000000000028624437,28026,2504,2563,2533
01114431579165026140,28043,4430,4304,4367
00000000000021604470,28042,3752,3278,3515
00000000000027281907,28001,9376,6266,7821
01035264119607026548,28009,7057,5976,6516
00555751416507048827,28041,2214,2440,2327
01103738407933234149,28038,2395,2216,2305
00568570160661170884,28015,5701,2216,3958
01030415521526502708,28036,6077,6761,6419
00000000000051133779,28033,3900,3818,3859
00600050171429521070,28038,2395,2216,2305
00000000000016423991,28026,2504,2563,2533
00000000000014327937,28004,6544,5818,6181
00000000000018644148,28015,5701,2216,3958
00000000000040932048,28009,7057,5976,6516
01098689005965642513,28010,7169,5233,6201
01016441089314560630,28016,5868,6848,6358
00756377533967378460,28027,3718,3764,3741
00000000000013887762,28037,2621,3220,2920
01028204050718167135,28011,2936,2680,2808
00760587374972973746,28039,3874,3396,3635
00000000000034609539,28022,3080,3139,3109
00000000000035029265,28022,3080,3139,3109
00802848443558956250,28047,2477,2371,2424
00675337485936812993,28003,5992,6000,5996
01100828567398787717,28012,4818,3175,3996
00000000000013443391,28010,7169,5233,6201
00988353110517435556,28031,2445,2317,2381
00910556023690780494,28043,4430,4304,4367
00000000000039620377,28022,3080,3139,3109
01033106710453952416,28020,4967,829,2898
01135379076273886429,28017,2962,3144,3053
01083294908793859949,28045,4451,4763,4607
00883188356495078168,28020,4967,829,2898
00000000000045829733,28012,4818,3175,3996
01024126604647591525,28026,2504,2563,2533
00555206975354490518,28041,2214,2440,2327
00694777167410123092,28009,7057,5976,6516
01060046942195528195,28039,3874,3396,3635
01131012010141768528,28045,4451,4763,4607
00000000000052731484,28006,7921,7997,7959
01059473363781191882,28020,4967,829,2898
01030281484687836245,28001,9376,6266,7821
01126092945827475123,28046,5834,3751,4792
01003466984839089174,28041,2214,2440,2327
00852231671925743537,28760,4250,2902,3576
01114380750186117726,28004,6544,5818,6181
01045656990260731839,28042,3752,3278,3515
00700428413782125821,28047,2477,2371,2424
00000000000005583981,28016,5868,6848,6358
00945626088440413932,28045,4451,4763,4607
01142816879876270699,28027,3718,3764,3741
01109531617974818892,28025,2311,2262,2286
00894752408194950536,28045,4451,4763,4607
01123697495200682836,28026,2504,2563,2533
00859172996068455808,28010,7169,5233,6201
01128902455916127172,28042,3752,3278,3515
00000000000024872161,28045,4451,4763,4607
00000000000014598996,28039,3874,3396,3635
00940381909190326326,28012,4818,3175,3996
01075385644799999149,28030,2810,2289,2549
00674299585663914736,28004,6544,5818,6181
01100578828574662954,28010,7169,5233,6201
01107791559627247197,28045,4451,4763,4607
01112935365060266163,28017,2962,3144,3053
01138281538261601013,28026,2504,2563,2533
00983287744983006409,28026,2504,2563,2533
01131196012925310812,28047,2477,2371,2424
00000000000050583051,28028,5148,4912,5030
01113940523538444621,28029,3854,3259,3556
00000000000003686364,28025,2311,2262,2286
00775342443477553268,28007,4768,4564,4666
00000000000019356583,28019,2737,2498,2617
00000000000033854794,28023,4681,3722,4201
00000000000051444253,28004,6544,5818,6181
00582004589465599420,28041,2214,2440,2327
00669315083733590869,28045,4451,4763,4607
01059507141460965174,28017,2962,3144,3053
00725385504180326232,28018,2115,2096,2105
00979237914688500941,28029,3854,3259,3556
00845699087402485846,28003,5992,6000,5996
01012958004850420684,28043,4430,4304,4367
00000000000054049070,28012,4818,3175,3996
01130934804409105604,28010,7169,5233,6201
00000000000034071040,28026,2504,2563,2533
00947169983419322582,28009,7057,5976,6516
00000000000012288034,28035,3933,3433,3683
01081399432584127815,28026,2504,2563,2533
01126908401931459416,28029,3854,3259,3556
00804237589948185681,28007,4768,4564,4666
01007801344063179895,28018,2115,2096,2105
00000000000023935986,28016,5868,6848,6358
00920107811637711847,28039,3874,3396,3635
00930283935185499987,28047,2477,2371,2424
00000000000031505010,28021,1967,1831,1899
00947551515806301463,28006,7921,7997,7959
01011762575917971191,28017,2962,3144,3053
00727987424429981335,28017,2962,3144,3053
01038906003689352198,28029,3854,3259,3556
00978138010811873402,28045,4451,4763,4607
00869318767830106886,28026,2504,2563,2533
00000000000030784254,28012,4818,3175,3996
01070352651725297354,28005,4879,4945,4912
00000000000046168595,28019,2737,2498,2617
00000000000021389483,28014,6436,2796,4616
00835474115560229238,28002,5455,7899,6677
00000000000053853684,28024,2564,3021,2792
00000000000044047282,28015,5701,2216,3958
01141116245917653593,28007,4768,4564,4666
00000000000018880856,28028,5148,4912,5030
00942029250686054544,28021,1967,1831,1899
00641755563279571098,28019,2737,2498,2617
00000000000047769310,28053,2293,2036,2164
01110796273296635613,28038,2395,2216,2305
00780494525338685618,28007,4768,4564,4666
01133122630063154387,28039,3874,3396,3635
00802199106441401015,28010,7169,5233,6201
00780137694165359936,28050,4580,3916,4248
00000000000047866123,28041,2214,2440,2327
00841509567075611970,28024,2564,3021,2792
00927544289262585138,28037,2621,3220,2920
01121722208302503460,28004,6544,5818,6181
00000000000038662267,28012,4818,3175,3996
