ID,Título,Tipología,Ciudad,Localización,Precio,Valoración,Numero valoraciones,Baños,Camas,Viajeros máximos,Año,Plataforma
00000000000021463214,Habitación privada,Habitación,Mallorca,"3.940.569.440.247.250,3.017.391.044.289.650",60,5.0,,1,1,2,2018,White Hosting
00000000000022030284,Habitación privada,Habitación,Madrid,"4.043.232,-365.655",18,,,1,1,1,2020,White Hosting
00000000000014896116,Habitación privada,Habitación,Barcelona,"4.141.071,215.139",37,3.5,,1,2,2,2019,White Hosting
00000000000038129421,Habitación privada,Habitación,Barcelona,"4.137.441,215.596",33,5.0,,2,1,1,2020,White Hosting
00000000000000210156,Alojamiento entero,Alojamiento,Mallorca,"3.983.375,310.918",58,4.8500000000000005,,2,4,6,2020,White Hosting
00000000000001404935,Habitación privada,Habitación,Barcelona,"4.139.008.284.253.250,2.138.701.544.683.540",57,4.8500000000000005,,1,1,2,2017,White Hosting
00000000000011568875,Habitación privada,Habitación,Barcelona,"41.379.630.880.760.900,21.499.255.952.522.200",58,4.4,,1,2,1,2017,White Hosting
00000000000017644948,Alojamiento entero,Alojamiento,Mallorca,"39.559.836.897.500.000,26.227.859.627.645.700",99,4.6000000000000005,,2,4,5,2018,White Hosting
00000000000012982507,Habitación privada,Habitación,Madrid,"4.041.736.362.454.620,-37.068.648.051.919.300",36,,,2,1,1,2017,White Hosting
00000000000032482477,Alojamiento entero,Alojamiento,Girona,"420.514,319.791",165,,,1,3,6,2019,White Hosting
00000000000022060178,Alojamiento entero,Alojamiento,Madrid,"404.174.145.207.843,-3.673.663.497.750.420",65,4.5,,1,3,4,2018,White Hosting
00000000000019224699,Alojamiento entero,Alojamiento,Madrid,"4.040.663,-370.028",100,4.65,,1,4,6,2019,White Hosting
00000000000019064416,Alojamiento entero,Alojamiento,Mallorca,"3.953.365,318.782",231,,,1,4,5,2019,White Hosting
00000000000035990319,Alojamiento entero,Alojamiento,Valencia,"3.946.316,-3.743",71,5.0,,1,2,2,2021,White Hosting
00000000000034080900,Alojamiento entero,Alojamiento,Malaga,"3.672.865,-442.119",41,,,1,3,5,2019,White Hosting
00000000000038746555,Alojamiento entero,Alojamiento,Madrid,"4.047.266,-365.492",200,4.800000000000001,,2,3,5,2020,White Hosting
00000000000033355251,Habitación privada,Habitación,Madrid,"404.266,-371.058",37,4.55,,1,1,2,2019,White Hosting
00000000000025966258,Alojamiento entero,Alojamiento,Madrid,"4.041.341,-371.356",90,4.65,,1,1,3,2020,White Hosting
00000000000027011181,Alojamiento entero,Alojamiento,Girona,"4.194.729,320.216",99,4.65,,2,5,6,2019,White Hosting
00000000000001020452,Alojamiento entero,Alojamiento,Barcelona,"4.137.277.413.390.830,2.146.546.634.303.940",60,4.75,,1,3,6,2017,White Hosting
00000000000015712249,Alojamiento entero,Alojamiento,Barcelona,"41.382,216.162",350,4.15,,1,3,5,2019,White Hosting
00000000000000519393,Habitación privada,Habitación,Sevilla,"3.737.805,-599.816",28,4.3,,2,1,2,2019,White Hosting
00000000000048061552,Habitación privada,Habitación,Madrid,"4.042.929,-37.075",18,,,2,1,2,2021,White Hosting
00000000000031111763,Alojamiento entero,Alojamiento,Valencia,"394.736,-37.223",35,4.800000000000001,,1,1,2,2019,White Hosting
00000000000014158219,Alojamiento entero,Alojamiento,Mallorca,"39.554.881.431.216.500,23.825.232.165.693.300",79,4.5,,1,1,2,2018,White Hosting
00000000000007646660,Alojamiento entero,Alojamiento,Sevilla,"37.388.622.655.885.600,-59.989.726.385.105.400",125,4.65,,2,5,6,2018,White Hosting
00000000000036374977,Habitación privada,Habitación,Sevilla,"3.741.236,-59.675",26,4.55,,1,1,1,2020,White Hosting
00000000000015402794,Habitación privada,Habitación,Valencia,"3.946.793,-37.506",15,4.6000000000000005,,2,1,1,2019,White Hosting
00000000000039892783,Habitación privada,Habitación,Barcelona,"4.137.478,217.298",28,,,1,1,2,2020,White Hosting
00000000000033655980,Habitación privada,Habitación,Valencia,"3.947.272,-40.059",16,5.0,,1,1,1,2019,White Hosting
00000000000003783948,Habitación privada,Habitación,Madrid,"404.176.828.454.878,-36.743.275.264.636.100",26,4.95,,1,1,1,2017,White Hosting
00000000000019665697,Alojamiento entero,Alojamiento,Mallorca,"3.956.368,3.372",157,4.3,,2,5,6,2019,White Hosting
00000000000025050194,Habitación privada,Habitación,Madrid,"4.037.816,-366.514",18,4.15,,1,2,2,2019,White Hosting
00000000000027336714,Alojamiento entero,Alojamiento,Menorca,"4.000.219,379.929",180,4.5,,1,2,2,2019,White Hosting
00000000000020854917,Hotel,Hotel,Sevilla,"3.738.658,-599.849",70,4.0,,1,1,2,2021,White Hosting
00000000000020269268,Habitación privada,Habitación,Barcelona,"41.406.284.583.705.700,2.184.885.832.122.510",35,4.800000000000001,,1,1,1,2018,White Hosting
00000000000027576381,Alojamiento entero,Alojamiento,Girona,"418.833,317.878",44,4.65,,1,3,6,2020,White Hosting
00000000000037313832,Habitación privada,Habitación,Barcelona,"4.138.238,217.465",110,4.4,,1,2,3,2020,White Hosting
00000000000030263283,Hotel,Hotel,Mallorca,"3.953.843,333.112",137,4.6000000000000005,,1,2,4,2020,White Hosting
00000000000024437410,Alojamiento entero,Alojamiento,Malaga,"3.672.303.187.799.370,-4.347.630.480.845.380",50,,,1,2,4,2018,White Hosting
00000000000015885378,Alojamiento entero,Alojamiento,Girona,"4.189.412.196.696.000,31.944.782.323.690.100",65,4.0,,3,4,6,2018,White Hosting
00000000000008551651,Habitación privada,Habitación,Madrid,"4.042.408.890.630.340,-3.702.705.531.026.550",45,4.7,,1,1,1,2019,White Hosting
00000000000043764574,Alojamiento entero,Alojamiento,Barcelona,"4.142.039,218.826",67,,,2,5,6,2020,White Hosting
00000000000019550672,Habitación privada,Habitación,Valencia,"3.947.354,-34.748",35,,,1,1,1,2019,White Hosting
00000000000018039874,Alojamiento entero,Alojamiento,Barcelona,"4.139.924,214.649",369,4.65,,3,4,6,2019,White Hosting
00000000000029497258,Alojamiento entero,Alojamiento,Girona,"420.522,319.716",36,,,1,3,4,2020,White Hosting
00000000000016919949,Habitación privada,Habitación,Barcelona,"4.140.216,216.243",34,,,1,1,2,2019,White Hosting
00000000000032814331,Alojamiento entero,Alojamiento,Barcelona,"4.137.151,212.954",54,,,1,1,2,2019,White Hosting
00000000000017856790,Alojamiento entero,Alojamiento,Mallorca,"3.972.215,2.886",415,4.0,,4,8,8,2021,White Hosting
00000000000022154114,Habitación compartida,Habitación,Malaga,"3.671.551.407.057.950,-4.423.248.728.076.680",14,4.800000000000001,,2,1,1,2018,White Hosting
00000000000001211082,Alojamiento entero,Alojamiento,Barcelona,"4.139.950.835.072.040,2.156.176.184.484.050",75,,,1,4,4,2017,White Hosting
00000000000024407462,Habitación privada,Habitación,Barcelona,"4.137.726,211.757",25,4.5,,1,1,2,2019,White Hosting
00000000000024319577,Habitación privada,Habitación,Barcelona,"4.137.325,216.702",8,4.65,,1,2,2,2019,White Hosting
00000000000013760790,Alojamiento entero,Alojamiento,Mallorca,"3.981.667,311.451",170,5.0,,2,6,8,2020,White Hosting
00000000000011197075,Alojamiento entero,Alojamiento,Mallorca,"398.907,305.385",425,4.0,,3,9,11,2019,White Hosting
00000000000038018192,Hotel,Hotel,Girona,"4.212.473,313.391",75,,,1,1,2,2020,White Hosting
00000000000040487668,Alojamiento entero,Alojamiento,Madrid,"4.041.094,-371.189",131,4.3500000000000005,,2,3,6,2021,White Hosting
00000000000018611022,Alojamiento entero,Alojamiento,Mallorca,"3.974.961,314.279",100,5.0,,2,3,4,2019,White Hosting
00000000000004934110,Alojamiento entero,Alojamiento,Mallorca,"3.950.884,2.5343",57,4.800000000000001,,1,4,4,2019,White Hosting
00000000000031484437,Habitación privada,Habitación,Madrid,"4.040.871,-370.075",35,5.0,,1,3,2,2019,White Hosting
00000000000017933924,Alojamiento entero,Alojamiento,Mallorca,"393.642.549.495.481,3.190.951.515.818.420",220,,,3,5,6,2018,White Hosting
00000000000015803693,Alojamiento entero,Alojamiento,Valencia,"394.779,-38.605",65,4.25,,1,2,4,2019,White Hosting
00000000000003691867,Alojamiento entero,Alojamiento,Madrid,"4.041.605.218.231.650,-3.704.844.782.423.700",100,4.800000000000001,,1,4,6,2018,White Hosting
00000000000026662713,Habitación privada,Habitación,Madrid,"4.047.325.434.385.740,-36.859.265.386.670.700",18,,,2,1,1,2018,White Hosting
00000000000031965245,Alojamiento entero,Alojamiento,Valencia,"3.949.365,-39.744",47,4.7,,1,1,2,2020,White Hosting
00000000000016991632,Alojamiento entero,Alojamiento,Sevilla,"3.740.371,-598.247",56,4.5,,1,1,2,2020,White Hosting
00000000000013385644,Habitación privada,Habitación,Madrid,"4.042.175.945.596.220,-3.701.876.078.685.900",45,4.25,,1,1,2,2018,White Hosting
00000000000031566999,Habitación privada,Habitación,Malaga,"366.974,-445.663",35,4.8500000000000005,,1,1,2,2019,White Hosting
00000000000005649274,Habitación privada,Habitación,Girona,"41.756.624.520.687.400,25.639.213.894.880.200",25,4.55,,3,10,16,2018,White Hosting
00000000000013806026,Habitación privada,Habitación,Barcelona,"4.137.456,215.469",45,4.55,,2,1,2,2019,White Hosting
00000000000034647040,Alojamiento entero,Alojamiento,Mallorca,"3.985.305,312.457",110,,,2,3,6,2020,White Hosting
00000000000032372872,Habitación privada,Habitación,Madrid,"404.307,-362.727",13,,,1,1,1,2019,White Hosting
00000000000017587177,Habitación privada,Habitación,Barcelona,"4.142.584.428.556.780,21.804.447.532.061.600",50,,,1,3,3,2017,White Hosting
00000000000018647730,Alojamiento entero,Alojamiento,Barcelona,"41.397.325.295.455.400,2.152.583.068.033.300",90,3.65,,1,3,4,2018,White Hosting
00000000000013744974,Habitación privada,Habitación,Madrid,"4.040.864,-371.198",25,,,1,1,2,2020,White Hosting
00000000000022092887,Alojamiento entero,Alojamiento,Mallorca,"39.532,324.847",300,5.0,,4,5,8,2021,White Hosting
00000000000001846844,Alojamiento entero,Alojamiento,Sevilla,"3.739.590.253.845.660,-5.994.856.714.001.660",60,4.55,,1,5,4,2018,White Hosting
00000000000019426209,Alojamiento entero,Alojamiento,Girona,"4.167.488,280.075",120,4.9,,3,7,7,2020,White Hosting
00000000000003739160,Habitación privada,Habitación,Sevilla,"3.740.317,-598.387",15,4.8500000000000005,,1,1,1,2019,White Hosting
00000000000040784771,Alojamiento entero,Alojamiento,Mallorca,"3.956.406,288.524",93,,,2,3,4,2020,White Hosting
00000000000028121167,Alojamiento entero,Alojamiento,Mallorca,"3.955.165,261.048",44,4.0,,1,1,2,2020,White Hosting
00000000000017635260,Alojamiento entero,Alojamiento,Girona,"4.204.895,3.1915",45,4.5,,1,4,6,2019,White Hosting
00000000000016001177,Alojamiento entero,Alojamiento,Madrid,"4.039.362,-369.665",60,4.55,,1,3,5,2019,White Hosting
00000000000027946571,Alojamiento entero,Alojamiento,Madrid,"4.040.619.096.493.290,-3.701.750.070.039.440",77,,,2,2,6,2018,White Hosting
00000000000036818574,Alojamiento entero,Alojamiento,Valencia,"3.946.269,-37.818",60,4.8500000000000005,,1,1,3,2019,White Hosting
00000000000017797538,Alojamiento entero,Alojamiento,Madrid,"4.039.764,-366.896",29,4.3500000000000005,,1,3,4,2020,White Hosting
00000000000034523812,Alojamiento entero,Alojamiento,Madrid,"4.038.025,-370.887",25,,,12,1,1,2019,White Hosting
00000000000007297898,Alojamiento entero,Alojamiento,Mallorca,"3.952.787.393.886.510,25.403.156.732.034.000",299,4.5,,2,7,13,2018,White Hosting
00000000000009675384,Alojamiento entero,Alojamiento,Barcelona,"4.138.126,216.015",127,4.45,,3,9,9,2019,White Hosting
00000000000017524704,Alojamiento entero,Alojamiento,Girona,"4.170.169,285.147",199,4.0,,2,7,9,2019,White Hosting
00000000000005546662,Alojamiento entero,Alojamiento,Mallorca,"397.768,293.485",110,4.3,,2,5,6,2020,White Hosting
00000000000002011730,Alojamiento entero,Alojamiento,Mallorca,"3.962.886,252.957",65,4.95,,1,4,4,2019,White Hosting
00000000000040197511,Habitación privada,Habitación,Barcelona,"4.140.438,218.161",14,4.95,,1,1,1,2021,White Hosting
00000000000042682037,Habitación privada,Habitación,Mallorca,"3.957.052,264.771",80,,,1,0,2,2020,White Hosting
00000000000015579708,Alojamiento entero,Alojamiento,Girona,"4.239.389,192.133",250,4.800000000000001,,3,4,6,2020,White Hosting
00000000000024667206,Habitación compartida,Habitación,Mallorca,"39.578.309.294.941.800,2.640.253.967.524.960",42,4.5,,2,2,2,2018,White Hosting
00000000000008893111,Alojamiento entero,Alojamiento,Valencia,"3.945.918,-3.721",195,3.95,,1,8,8,2020,White Hosting
00000000000023066673,Alojamiento entero,Alojamiento,Barcelona,"4.140.906,214.003",100,4.0,,1,0,2,2020,White Hosting
00000000000022873595,Alojamiento entero,Alojamiento,Girona,"4.225.453,310.726",65,,,1,5,5,2019,White Hosting
00000000000019024768,Alojamiento entero,Alojamiento,Girona,"4.224.653,312.749",73,,,2,3,6,2020,White Hosting
00000000000026366403,Habitación privada,Habitación,Barcelona,"4.144.855,2.1801",21,4.75,,1,1,2,2020,White Hosting
00000000000021455792,Alojamiento entero,Alojamiento,Madrid,"4.042.829,-367.472",90,4.15,,1,3,4,2020,White Hosting
00000000000033920240,Alojamiento entero,Alojamiento,Mallorca,"3.987.692,301.375",158,,,2,5,6,2021,White Hosting
00000000000037166032,Alojamiento entero,Alojamiento,Menorca,"3.982.328,423.463",350,,,3,4,8,2020,White Hosting
00000000000013662272,Alojamiento entero,Alojamiento,Malaga,"3.671.958,-442.222",55,4.65,,1,2,4,2020,White Hosting
00000000000002544674,Alojamiento entero,Alojamiento,Sevilla,"3.740.184,-59.872",200,4.7,,1,2,4,2019,White Hosting
00000000000005654704,Alojamiento entero,Alojamiento,Madrid,"4.041.317,-3.696",41,4.3500000000000005,,1,1,2,2021,White Hosting
00000000000019046214,Habitación privada,Habitación,Barcelona,"413.826,2.1567",15,4.55,,2,1,1,2020,White Hosting
00000000000013585564,Alojamiento entero,Alojamiento,Girona,"4.217.325,307.602",190,4.55,,3,5,8,2020,White Hosting
00000000000024348022,Habitación privada,Habitación,Barcelona,"4.141.463.142.268.760,21.787.696.009.167.200",29,4.95,,2,1,2,2018,White Hosting
00000000000004629577,Alojamiento entero,Alojamiento,Girona,"4.172.063,292.813",70,4.8500000000000005,,2,4,6,2019,White Hosting
00000000000031216352,Alojamiento entero,Alojamiento,Girona,"4.170.166,284.733",84,4.0,,1,10,10,2019,White Hosting
00000000000023175766,Alojamiento entero,Alojamiento,Girona,"4.238.496,315.368",75,4.0,,1,4,5,2019,White Hosting
00000000000032679326,Alojamiento entero,Alojamiento,Mallorca,"3.970.892,286.949",110,4.95,,1,5,5,2019,White Hosting
00000000000017986253,Alojamiento entero,Alojamiento,Girona,"4.218.938.977.440.300,2.919.399.989.077.700",90,,,1,2,3,2018,White Hosting
00000000000033264292,Habitación privada,Habitación,Barcelona,"4.137.629,217.297",60,4.5,,1,1,2,2019,White Hosting
00000000000004066844,Alojamiento entero,Alojamiento,Malaga,"3.672.402.927.725.180,-4.422.862.251.339.620",90,4.65,,1,4,6,2018,White Hosting
00000000000004149400,Alojamiento entero,Alojamiento,Mallorca,"3.976.671,270.625",135,4.9,,1,3,4,2020,White Hosting
00000000000007131427,Habitación privada,Habitación,Madrid,"4.039.097.584.659.960,-3.653.142.002.575.100",35,,,2,1,1,2018,White Hosting
00000000000035274834,Alojamiento entero,Alojamiento,Madrid,"4.042.186,-370.258",94,3.75,,1,2,3,2019,White Hosting
00000000000044257763,Alojamiento entero,Alojamiento,Girona,"41.973,3.2113",106,5.0,,1,4,4,2020,White Hosting
00000000000020816607,Habitación privada,Habitación,Malaga,"3.672.158.450.315.860,-4.362.495.631.835.720",27,5.0,,1,2,2,2018,White Hosting
00000000000007690343,Alojamiento entero,Alojamiento,Girona,"4.167.792.255.649.820,28.006.338.470.519.800",500,5.0,,4,10,8,2018,White Hosting
00000000000000763176,Habitación privada,Habitación,Barcelona,"4.137.392,216.837",24,4.9,,2,1,2,2019,White Hosting
00000000000015081686,Alojamiento entero,Alojamiento,Girona,"4.199.739,318.923",114,,,2,4,4,2020,White Hosting
00000000000019897303,Alojamiento entero,Alojamiento,Mallorca,"3.978.593.004.156.780,30.207.333.548.422.600",235,,,3,8,8,2018,White Hosting
00000000000023815528,Alojamiento entero,Alojamiento,Mallorca,"3.967.438,341.557",,,,4,10,10,2020,White Hosting
00000000000022080641,Alojamiento entero,Alojamiento,Mallorca,"3.944.302,313.995",137,4.0,,2,5,7,2019,White Hosting
00000000000020491478,Habitación privada,Habitación,Madrid,"40.437,-36.997",33,4.9,,1,1,2,2019,White Hosting
00000000000037548416,Alojamiento entero,Alojamiento,Barcelona,"4.137.935,214.895",,,,2,6,6,2019,White Hosting
00000000000006449464,Alojamiento entero,Alojamiento,Girona,"4.196.779.736.271.000,3.208.585.848.795.850",200,,,4,14,14,2018,White Hosting
00000000000031031935,Alojamiento entero,Alojamiento,Madrid,"4.041.761,-370.645",120,4.55,,2,3,5,2019,White Hosting
00000000000031371827,Habitación privada,Habitación,Barcelona,"4.137.826,215.766",16,,,1,1,1,2019,White Hosting
00000000000011224372,Habitación privada,Habitación,Sevilla,"3.739.976,-592.368",59,4.5,,2,4,6,2019,White Hosting
00000000000022461895,Alojamiento entero,Alojamiento,Barcelona,"41.405.716.513.728.500,22.163.440.239.050.700",200,4.8500000000000005,,2,4,6,2018,White Hosting
00000000000000487818,Alojamiento entero,Alojamiento,Mallorca,"39.767.203.955.635.200,2.718.514.351.859.520",200,4.95,,4,4,8,2018,White Hosting
00000000000015012271,Habitación privada,Habitación,Barcelona,"4.143.106.742.717.210,21.793.436.710.276.300",20,4.5,,1,1,1,2018,White Hosting
00000000000006282421,Alojamiento entero,Alojamiento,Mallorca,"3.962.351.054.480.430,2.495.147.195.631.870",100,4.55,,1,3,4,2018,White Hosting
00000000000017541412,Alojamiento entero,Alojamiento,Girona,"4.170.083,2.8536",90,4.55,,2,4,8,2020,White Hosting
00000000000012839887,Alojamiento entero,Alojamiento,Girona,"4.226.393,318.203",127,4.3500000000000005,,2,4,6,2020,White Hosting
00000000000040125645,Alojamiento entero,Alojamiento,Mallorca,"3.985.549,315.304",223,,,4,4,8,2020,White Hosting
00000000000029583825,Alojamiento entero,Alojamiento,Mallorca,"3.967.028.498.982.340,27.080.477.314.950.800",115,,,2,4,6,2018,White Hosting
00000000000006902570,Habitación privada,Habitación,Barcelona,"413.745.667.358.933,21.314.931.025.120.700",15,4.15,,1,1,1,2018,White Hosting
00000000000004186859,Alojamiento entero,Alojamiento,Valencia,"3.947.876,-39.413",90,4.65,,2,2,4,2020,White Hosting
00000000000018918137,Alojamiento entero,Alojamiento,Barcelona,"4.138.289.234.012.010,2.166.623.512.369.500",339,5.0,,2,6,8,2017,White Hosting
00000000000014443970,Habitación privada,Habitación,Barcelona,"41.384.032.570.380.300,2.165.050.270.356.070",37,4.1000000000000005,,2,1,2,2018,White Hosting
00000000000032003305,Alojamiento entero,Alojamiento,Mallorca,"3.984.656,309.004",,,,3,0,10,2019,White Hosting
00000000000030549127,Habitación privada,Habitación,Madrid,"4.041.294,-371.337",40,5.0,,1,1,2,2019,White Hosting
00000000000014923468,Alojamiento entero,Alojamiento,Barcelona,"4.139.304.106.670.640,2.149.492.318.575.250",296,4.7,,2,5,6,2018,White Hosting
00000000000044564734,Habitación privada,Habitación,Mallorca,"3.985.332,312.218",105,5.0,,1,1,2,2020,White Hosting
