ID,CP,PRECIO POR PISO,PRECIO POR CASA
1136118465079980952,28047,2477 ,2371 
49074773,28011,2936 ,2680 
1030391305392681341,28028,5148 ,4912 
880260552950118225,28050,4580 ,3916 
13403703,28045,4451 ,4763 
21879461,28015,5701 ,2216 
32513575,28037,2621 ,3220 
854195509818792739,28029,3854 ,3259 
1070210060037869386,28041,2214 ,2440 
32402933,28038,2395 ,2216 
1007432017759374165,28026,2504 ,2563 
878147653742979745,28026,2504 ,2563 
24508884,28025,2311 ,2262 
34029782,28012,4818 ,3175 
953778038279439272,28047,2477 ,2371 
29981080,28007,4768 ,4564 
1111754747534662943,28026,2504 ,2563 
1092079733519787800,28017,2962 ,3144 
27369539,28036,6077 ,6761 
17244583,28004,6544 ,5818 
996788104365738260,28007,4768 ,4564 
914057,28038,2395 ,2216 
1128932756949794866,28042,3752 ,3278 
1101298892531826755,28038,2395 ,2216 
40985222,28004,6544 ,5818 
47002462,28038,2395 ,2216 
45438903,28034,3657 ,3485 
10082400,28003,5992 ,6000 
1081130798000502989,28039,3874 ,3396 
1092073907768256687,28045,4451 ,4763 
644805739429143484,28029,3854 ,3259 
1141791006046682535,28011,2936 ,2680 
28683485,28035,3933 ,3433 
1076148381158043670,28003,5992 ,6000 
22764702,28028,5148 ,4912 
1064594507132636947,28034,3657 ,3485 
42878421,28027,3718 ,3764 
964407683692763424,28038,2395 ,2216 
558502284857692835,28043,4430 ,4304 
1066713129972958713,28041,2214 ,2440 
1133424933894752260,28028,5148 ,4912 
47908225,28026,2504 ,2563 
35714125,28039,3874 ,3396 
1075258481930537569,28030,2810 ,2289 
773075329538197675,28022,3080 ,3139 
773863019340335543,28004,6544 ,5818 
32439823,28034,3657 ,3485 
1126848606580194392,28012,4818 ,3175 
13598783,28023,4681 ,3722 
52853953,28045,4451 ,4763 
628803068237802888,28001,9376 ,6266 
617381097035078586,28053,2293 ,2036 
826715690163409318,28039,3874 ,3396 
611644340254613963,28022,3080 ,3139 
1137679246106086776,28012,4818 ,3175 
36463383,28053,2293 ,2036 
1057233168593822863,28011,2936 ,2680 
1138289085619811583,28006,7921 ,7997 
759247955542290034,28047,2477 ,2371 
1051510005406832233,28017,2962 ,3144 
45830525,28012,4818 ,3175 
30554500,28017,2962 ,3144 
28930027,28006,7921 ,7997 
646869426660771948,28047,2477 ,2371 
814337754840310842,28039,3874 ,3396 
35065843,28011,2936 ,2680 
3501674,28017,2962 ,3144 
51647382,28053,2293 ,2036 
915827660596527576,28026,2504 ,2563 
1089316153866659931,28017,2962 ,3144 
1126950480859125791,28017,2962 ,3144 
43937945,28009,7057 ,5976 
45283717,28010,7169 ,5233 
41768459,28038,2395 ,2216 
46348662,28019,2737 ,2498 
1082418380619075041,28007,4768 ,4564 
30052740,28011,2936 ,2680 
1026780049084130541,28041,2214 ,2440 
32485027,28038,2395 ,2216 
943372583552006604,28006,7921 ,7997 
1128322005314082519,28053,2293 ,2036 
49433117,28003,5992 ,6000 
1021564995466968303,28046,5834 ,3751 
976654230713325805,28027,3718 ,3764 
1106476367797671880,28049,4976 ,3886 
5278933,28030,2810 ,2289 
984605907627943342,28002,5455 ,7899 
738336673168423745,28014,6436 ,2796 
1078130838110598243,28045,4451 ,4763 
1125494766228236642,28007,4768 ,4564 
30580469,28014,6436 ,2796 
53335609,28008,5683 ,5308 
1106038484392320110,28026,2504 ,2563 
27257449,28003,5992 ,6000 
833735716265570613,28019,2737 ,2498 
1098335207327955793,28031,2445 ,2317 
555238156247911186,28041,2214 ,2440 
16478640,28011,2936 ,2680 
38419775,28033,3900 ,3818 
38702266,28005,4879 ,4945 
40721558,28022,3080 ,3139 
1012287670485099827,28043,4430 ,4304 
1081719191586962712,28045,4451 ,4763 
905672799514033111,28032,2704 ,2823 
18540846,28015,5701 ,2216 
21944126,28045,4451 ,4763 
1140654383815698385,28043,4430 ,4304 
1140539291015310160,28001,9376 ,6266 
795428335697217464,28016,5868 ,6848 
735360754439509685,28038,2395 ,2216 
1060359764672801157,28011,2936 ,2680 
980339330355298755,28030,2810 ,2289 
1042788124643710894,28009,7057 ,5976 
31157474,28009,7057 ,5976 
1138351147330962769,28053,2293 ,2036 
768217454691829279,28020,4967 ,829 
1105546173838503175,28007,4768 ,4564 
54361480,28021,1967 ,1831 
52018449,28030,2810 ,2289 
893953854889548695,28037,2621 ,3220 
554510664483047819,28007,4768 ,4564 
29938173,28034,3657 ,3485 
555246181880584198,28041,2214 ,2440 
950789111097291495,28012,4818 ,3175 
45095851,28039,3874 ,3396 
1069601888039905662,28026,2504 ,2563 
1141835192029399178,28012,4818 ,3175 
39887396,28014,6436 ,2796 
922392635155411362,28044,2429 ,2058 
853739035682361011,28013,4917 ,3286 
1107150269231752338,28028,5148 ,4912 
35281477,28030,2810 ,2289 
947022428931270069,28039,3874 ,3396 
15471882,28046,5834 ,3751 
9977208,28047,2477 ,2371 
896377270496381550,28040,4971 ,3963 
1047891826843118113,28010,7169 ,5233 
24200381,28001,9376 ,6266 
36854978,28011,2936 ,2680 
1123701054428367306,28026,2504 ,2563 
33326044,28032,2704 ,2823 
