ID,Tipo de habitación,Título,Tipología,Ciudad,Localización,Municipio,Precio por noche Agosto,Precio por noche Octubre,Precio Medio,Valoración,Numero valoraciones,Dormitorios,Baños,Camas,Viajeros máximos
00548217374788705047,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.53796,-5.65005",Asturias,191,74,132,4.75,53,3,1,5,6
00000000000044319360,Habitación,Habitación,Habitación,Asturias,"43.53766,-5.66777",Asturias,31,31,31,4.12,50,1,1,1,
00000000000050784675,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.36068,-5.84488",Asturias,,100,100,4.65,68,3,1,,6
01033823250335492481,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.5373,-5.6475",Asturias,480,152,316,,1,2,1,2,4
01153593115235859571,Habitación,Habitación,Habitación,Asturias,"43.533845,-5.672574",Asturias,60,,60,,,1,1,,
00000000000024580114,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.54033,-5.69659",Asturias,,58,58,4.4,80,2,1,4,4
00839567792196191987,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.35657,-5.83742",Asturias,,70,70,,,2,1,3,4
00000000000020620815,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.54,-5.6561",Asturias,,,,4.87,141,1,1,2,3
00000000000039728238,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.5369,-5.6589",Asturias,,,,4.93,28,3,1,4,6
00000000000033634716,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.54121,-5.66123",Asturias,,,,4.75,8,2,1,3,4
00892080944825772090,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.53336,-5.67139",Asturias,,,,5.0,19,2,1,3,4
00804738973462246832,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.3647,-5.8653",Asturias,,99,99,4.67,9,3,1,3,6
00000000000039496510,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.53968,-5.64985",Asturias,,,,,,2,1,2,4
00758424942958197772,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.36338,-5.87413",Asturias,180,120,150,,,3,1,5,6
00000000000037644941,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.36749,-5.84503",Asturias,,90,90,4.67,18,3,1,3,4
01080167713099356388,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.531,-5.6578",Asturias,,90,90,,,2,1,,4
