,ID,Tipo de habitación,Título,Tipología,Ciudad,Localización,Municipio,Precio por noche Agosto,Precio por noche Octubre,Precio Medio,Valoración,Numero valoraciones,Dormitorios,Baños,Camas,Viajeros máximos,Distancia a PI
52,975493900261193874,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.406,-3.648",Madrid,32.0,32.0,32.0,4.67,9.0,1.0,1,1.0,,4.856
53,48672492,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.45,-3.6674",Madrid,68.0,68.0,68.0,,,1.0,1,2.0,3.0,4.783
54,911345532433110385,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.408103,-3.731597",Madrid,50.0,50.0,50.0,4.83,18.0,1.0,1,1.0,,2.571
55,825876820173794890,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.3768,-3.7545",Madrid,120.0,115.0,118.0,,,2.0,2,3.0,4.0,6.208
56,701228034333215922,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.45971,-3.58766",Madrid,49.0,49.0,49.0,,,1.0,1,,,10.899
57,944048505343975480,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.433,-3.7174",Madrid,,,,4.17,24.0,1.0,1,1.0,1.0,2.138
58,604092307498076311,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.40749,-3.7027",Madrid,,,,4.81,117.0,1.0,1,1.0,,1.052
59,744793199400968425,"Habitación en Getafe, España",Habitación,Habitación,Madrid,"40.3292,-3.7321",Getafe,,41.0,41.0,,,1.0,1,1.0,,10.051
60,1021130443413751338,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.40383,-3.69532",Madrid,113.0,,113.0,4.66,41.0,2.0,1,5.0,5.0,1.614
61,1144181410605295749,"Habitación en Coslada, España",Habitación,Habitación,Madrid,"40.424767,-3.562208",Coslada,48.0,48.0,48.0,,,1.0,1,2.0,,11.995
62,1047751873763743017,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.4738,-3.64",Madrid,,,,,,1.0,1,1.0,2.0,8.3
63,1087194565149993909,"Habitación privada en: piso en Madrid, España",Habitación privada en,Habitación,Madrid,"40.3806,-3.7035",Madrid,32.0,32.0,32.0,3.86,14.0,1.0,1,1.0,2.0,4.039
64,1061509492184985152,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.399436,-3.695153",Madrid,,,,4.73,11.0,1.0,1,,4.0,2.07
65,12560698,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.3927,-3.6907",Madrid,194.0,194.0,194.0,,,3.0,2,3.0,4.0,2.905
66,849208689069085679,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.387791,-3.756616",Madrid,23.0,,23.0,4.79,33.0,1.0,1,1.0,,5.541
67,954295535871508498,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.35746,-3.59406",Madrid,122.0,154.0,138.0,4.87,15.0,2.0,2,3.0,6.0,11.388
68,26728651,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.46567,-3.69556",Madrid,120.0,200.0,160.0,4.67,156.0,1.0,1,1.0,2.0,5.462
69,1128198109864004445,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.4211,-3.7098",Madrid,,227.0,227.0,,,1.0,1,2.0,3.0,0.705
70,1078915903154979864,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.4211,-3.7014",Madrid,129.0,204.0,166.0,,,1.0,1,,3.0,0.498
71,827269532255363818,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.426951,-3.700788",Madrid,113.0,79.0,96.0,4.54,35.0,1.0,1,1.0,2.0,1.138
72,1116723675835977281,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.3682,-3.6674",Madrid,23.0,23.0,23.0,5.0,3.0,1.0,1,,,6.223
73,869458356471384276,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.4097,-3.672",Madrid,,68.0,68.0,,,1.0,1,,,2.788
74,978518743068545534,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.3575,-3.6858",Madrid,98.0,,98.0,,,1.0,1,2.0,3.0,6.777
75,909987551984221768,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.49251,-3.689688",Madrid,,,,4.86,42.0,1.0,1,1.0,2.0,8.486
76,913767880994499999,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.4274,-3.6747",Madrid,90.0,,90.0,,,1.0,1,,2.0,2.704
77,847054129239226237,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.437913,-3.702318",Madrid,144.0,291.0,218.0,4.55,20.0,1.0,1,2.0,4.0,2.336
78,819518424371086091,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.458226,-3.705536",Madrid,,,,4.55,49.0,1.0,1,,,4.595
79,1009375011420932547,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.4311,-3.6726",Madrid,182.0,312.0,247.0,5.0,11.0,3.0,1,3.0,5.0,3.056
80,16213864,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.4118,-3.6956",Madrid,113.0,153.0,133.0,4.74,658.0,1.0,1,2.0,2.0,0.881
81,1118152495493716271,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.427741,-3.73495",Madrid,35.0,35.0,35.0,,,1.0,1,,,2.919
82,981158638359219888,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.46827,-3.71373",Madrid,130.0,247.0,188.0,4.78,23.0,1.0,1,1.0,3.0,5.774
83,839805550941878584,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.38737,-3.705654",Madrid,44.0,44.0,44.0,4.5,12.0,1.0,1,1.0,,3.292
84,907256923289262996,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.42183,-3.7068",Madrid,137.0,137.0,137.0,,,2.0,1,,3.0,0.611
85,47897389,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.38745,-3.70138",Madrid,163.0,163.0,163.0,4.56,106.0,2.0,1,3.0,4.0,3.283
86,714194442792391970,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.44191,-3.69833",Madrid,113.0,166.0,140.0,4.64,42.0,1.0,1,2.0,3.0,2.813
87,15609190,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.4348,-3.68346",Madrid,,40.0,40.0,,,1.0,1,2.0,,2.615
88,1030630786592119559,"Alojamiento entero: piso en Alcorcón, España",Alojamiento entero,Alojamiento,Madrid,"40.356,-3.811",Alcorcn,,,,,,3.0,2,,6.0,11.347
89,18067583,"Alojamiento entero: apto. residencial en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.42864,-3.67681",Madrid,106.0,148.0,127.0,4.53,162.0,1.0,1,1.0,4.0,2.61
90,1126687450351900805,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.436194,-3.635192",Madrid,140.0,140.0,140.0,,1.0,1.0,1,,2.0,6.169
91,936634302336374135,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.4554,-3.6963",Madrid,108.0,205.0,156.0,,,1.0,1,1.0,2.0,4.321
92,1088539680538736617,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.4086,-3.6589",Madrid,,,,,,1.0,1,1.0,,3.891
93,670523894650218504,"Alojamiento entero: vivienda en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.44864,-3.60749",Madrid,330.0,332.0,331.0,,,4.0,2,6.0,9.0,8.861
94,941385687378773662,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.3778,-3.7328",Madrid,60.0,60.0,60.0,,2.0,1.0,1,1.0,,5.007
95,1106686900025434250,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.406581,-3.676648",Madrid,48.0,48.0,48.0,,,1.0,1,2.0,,2.551
96,33002419,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.46132,-3.59217",Madrid,,,,4.66,191.0,1.0,1,1.0,,10.639
97,917922741750673213,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.419803,-3.707834",Madrid,97.0,151.0,124.0,4.58,52.0,1.0,1,2.0,2.0,0.484
98,16444826,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.3855,-3.7033",Madrid,,,,4.67,45.0,1.0,1,2.0,2.0,3.495
99,999988505419653148,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.436366,-3.656152",Madrid,48.0,48.0,48.0,4.77,31.0,1.0,1,1.0,,4.556
100,950810794775877488,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.38762,-3.73398",Madrid,,,,4.78,73.0,3.0,1,4.0,7.0,4.155
101,1099379669226765308,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.3865,-3.6424",Madrid,,,,,1.0,1.0,1,1.0,,6.184
102,7061159,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.40717,-3.74373",Madrid,,,,,,1.0,1,1.0,,3.572
